"","pasture_id","patch_id","year","n"
"1","235","C",2014,5
"2","235","C",2015,5
"3","235","C",2016,5
"4","235","C",2017,5
"5","235","C",2018,5
"6","235","C",2021,5
"7","235","C",2022,5
"8","235","C",2023,5
"9","235","N",2014,5
"10","235","N",2015,5
"11","235","N",2016,5
"12","235","N",2017,5
"13","235","N",2018,5
"14","235","N",2021,5
"15","235","N",2022,5
"16","235","N",2023,5
"17","235","S",2014,5
"18","235","S",2015,5
"19","235","S",2016,5
"20","235","S",2017,5
"21","235","S",2018,5
"22","235","S",2021,5
"23","235","S",2022,5
"24","235","S",2023,5
"25","BSH","C",2014,2
"26","BSH","C",2015,5
"27","BSH","C",2016,5
"28","BSH","C",2017,5
"29","BSH","C",2021,5
"30","BSH","C",2022,5
"31","BSH","C",2023,5
"32","BSH","N",2014,2
"33","BSH","N",2015,5
"34","BSH","N",2016,5
"35","BSH","N",2017,5
"36","BSH","N",2021,5
"37","BSH","N",2022,5
"38","BSH","N",2023,5
"39","BSH","S",2014,2
"40","BSH","S",2015,5
"41","BSH","S",2016,5
"42","BSH","S",2017,5
"43","BSH","S",2021,5
"44","BSH","S",2022,5
"45","BSH","S",2023,5
"46","DUN","C",2014,1
"47","DUN","C",2015,5
"48","DUN","C",2016,5
"49","DUN","C",2017,5
"50","DUN","C",2018,5
"51","DUN","E",2014,1
"52","DUN","E",2015,5
"53","DUN","E",2016,5
"54","DUN","E",2017,5
"55","DUN","E",2018,5
"56","DUN","W",2014,1
"57","DUN","W",2015,5
"58","DUN","W",2016,5
"59","DUN","W",2017,5
"60","DUN","W",2018,5
"61","FRN","E",2014,2
"62","FRN","E",2015,5
"63","FRN","E",2016,5
"64","FRN","S",2014,2
"65","FRN","S",2015,5
"66","FRN","S",2016,5
"67","FRN","W",2014,2
"68","FRN","W",2015,5
"69","FRN","W",2016,5
"70","FRS","E",2014,1
"71","FRS","E",2015,5
"72","FRS","E",2016,5
"73","FRS","N",2014,1
"74","FRS","N",2015,5
"75","FRS","N",2016,5
"76","FRS","W",2014,1
"77","FRS","W",2015,5
"78","FRS","W",2016,5
"79","GIL","C",2007,5
"80","GIL","C",2008,5
"81","GIL","C",2009,5
"82","GIL","C",2010,5
"83","GIL","C",2011,5
"84","GIL","C",2012,5
"85","GIL","C",2013,5
"86","GIL","C",2014,5
"87","GIL","C",2015,5
"88","GIL","C",2016,5
"89","GIL","C",2017,5
"90","GIL","C",2018,5
"91","GIL","C",2021,5
"92","GIL","C",2022,5
"93","GIL","C",2023,5
"94","GIL","N",2007,5
"95","GIL","N",2008,5
"96","GIL","N",2009,5
"97","GIL","N",2010,5
"98","GIL","N",2011,5
"99","GIL","N",2012,5
"100","GIL","N",2013,5
"101","GIL","N",2014,5
"102","GIL","N",2015,5
"103","GIL","N",2016,5
"104","GIL","N",2017,5
"105","GIL","N",2018,5
"106","GIL","N",2021,5
"107","GIL","N",2022,4
"108","GIL","N",2023,5
"109","GIL","S",2007,5
"110","GIL","S",2008,5
"111","GIL","S",2009,5
"112","GIL","S",2010,5
"113","GIL","S",2011,5
"114","GIL","S",2012,5
"115","GIL","S",2013,5
"116","GIL","S",2014,5
"117","GIL","S",2015,5
"118","GIL","S",2016,5
"119","GIL","S",2017,5
"120","GIL","S",2018,5
"121","GIL","S",2021,5
"122","GIL","S",2022,5
"123","GIL","S",2023,5
"124","GIL","W",2022,1
"125","KLN","C",2007,5
"126","KLN","C",2008,5
"127","KLN","C",2009,6
"128","KLN","C",2010,5
"129","KLN","C",2011,5
"130","KLN","C",2012,5
"131","KLN","C",2013,5
"132","KLN","C",2014,5
"133","KLN","C",2015,5
"134","KLN","C",2016,5
"135","KLN","C",2017,5
"136","KLN","C",2018,5
"137","KLN","C",2021,5
"138","KLN","C",2022,5
"139","KLN","C",2023,5
"140","KLN","E",2007,5
"141","KLN","E",2008,5
"142","KLN","E",2009,6
"143","KLN","E",2010,5
"144","KLN","E",2011,5
"145","KLN","E",2012,5
"146","KLN","E",2013,5
"147","KLN","E",2014,5
"148","KLN","E",2015,5
"149","KLN","E",2016,5
"150","KLN","E",2017,5
"151","KLN","E",2018,5
"152","KLN","E",2021,5
"153","KLN","E",2022,5
"154","KLN","E",2023,5
"155","KLN","W",2007,6
"156","KLN","W",2008,5
"157","KLN","W",2009,6
"158","KLN","W",2010,5
"159","KLN","W",2011,5
"160","KLN","W",2012,5
"161","KLN","W",2013,5
"162","KLN","W",2014,5
"163","KLN","W",2015,5
"164","KLN","W",2016,5
"165","KLN","W",2017,5
"166","KLN","W",2018,5
"167","KLN","W",2021,5
"168","KLN","W",2022,5
"169","KLN","W",2023,5
"170","KLT","E",2007,5
"171","KLT","E",2008,6
"172","KLT","E",2009,6
"173","KLT","E",2010,6
"174","KLT","E",2011,5
"175","KLT","E",2012,5
"176","KLT","E",2013,5
"177","KLT","E",2015,5
"178","KLT","E",2016,5
"179","KLT","E",2017,5
"180","KLT","E",2018,5
"181","KLT","E",2021,5
"182","KLT","E",2022,5
"183","KLT","E",2023,5
"184","KLT","S",2007,5
"185","KLT","S",2008,6
"186","KLT","S",2009,6
"187","KLT","S",2010,5
"188","KLT","S",2011,5
"189","KLT","S",2012,5
"190","KLT","S",2013,5
"191","KLT","S",2015,5
"192","KLT","S",2016,5
"193","KLT","S",2017,5
"194","KLT","S",2018,5
"195","KLT","S",2021,5
"196","KLT","S",2022,5
"197","KLT","S",2023,5
"198","KLT","W",2007,4
"199","KLT","W",2008,6
"200","KLT","W",2009,6
"201","KLT","W",2010,5
"202","KLT","W",2011,5
"203","KLT","W",2012,5
"204","KLT","W",2013,5
"205","KLT","W",2015,5
"206","KLT","W",2016,5
"207","KLT","W",2017,5
"208","KLT","W",2018,5
"209","KLT","W",2021,5
"210","KLT","W",2022,5
"211","KLT","W",2023,5
"212","LTR","C",2007,5
"213","LTR","C",2008,6
"214","LTR","C",2009,5
"215","LTR","C",2010,5
"216","LTR","C",2011,5
"217","LTR","C",2012,5
"218","LTR","C",2013,5
"219","LTR","C",2014,5
"220","LTR","C",2015,5
"221","LTR","C",2016,5
"222","LTR","C",2017,5
"223","LTR","C",2018,5
"224","LTR","C",2021,5
"225","LTR","C",2022,5
"226","LTR","C",2023,5
"227","LTR","E",2007,6
"228","LTR","E",2008,6
"229","LTR","E",2009,6
"230","LTR","E",2010,5
"231","LTR","E",2011,6
"232","LTR","E",2012,5
"233","LTR","E",2013,5
"234","LTR","E",2014,5
"235","LTR","E",2015,5
"236","LTR","E",2016,5
"237","LTR","E",2017,5
"238","LTR","E",2018,5
"239","LTR","E",2021,5
"240","LTR","E",2022,4
"241","LTR","E",2023,5
"242","LTR","W",2007,5
"243","LTR","W",2008,6
"244","LTR","W",2009,5
"245","LTR","W",2010,5
"246","LTR","W",2011,6
"247","LTR","W",2012,5
"248","LTR","W",2013,5
"249","LTR","W",2014,5
"250","LTR","W",2015,5
"251","LTR","W",2016,5
"252","LTR","W",2017,6
"253","LTR","W",2018,5
"254","LTR","W",2021,5
"255","LTR","W",2022,5
"256","LTR","W",2023,5
"257","PAW","E",2007,5
"258","PAW","E",2008,7
"259","PAW","E",2009,5
"260","PAW","E",2010,5
"261","PAW","E",2011,5
"262","PAW","E",2012,5
"263","PAW","E",2013,5
"264","PAW","E",2014,1
"265","PAW","E",2015,5
"266","PAW","E",2016,5
"267","PAW","E",2017,5
"268","PAW","E",2018,5
"269","PAW","S",2007,5
"270","PAW","S",2008,7
"271","PAW","S",2009,5
"272","PAW","S",2010,5
"273","PAW","S",2011,5
"274","PAW","S",2012,5
"275","PAW","S",2013,5
"276","PAW","S",2014,1
"277","PAW","S",2015,5
"278","PAW","S",2016,5
"279","PAW","S",2017,5
"280","PAW","S",2018,5
"281","PAW","W",2007,5
"282","PAW","W",2008,6
"283","PAW","W",2009,5
"284","PAW","W",2010,5
"285","PAW","W",2011,5
"286","PAW","W",2012,5
"287","PAW","W",2013,5
"288","PAW","W",2014,1
"289","PAW","W",2015,5
"290","PAW","W",2016,5
"291","PAW","W",2017,5
"292","PAW","W",2018,5
"293","PYN","E",2017,1
"294","PYN","N",2007,5
"295","PYN","N",2008,6
"296","PYN","N",2009,5
"297","PYN","N",2010,6
"298","PYN","N",2011,5
"299","PYN","N",2012,5
"300","PYN","N",2013,5
"301","PYN","N",2014,5
"302","PYN","N",2015,5
"303","PYN","N",2016,6
"304","PYN","N",2017,4
"305","PYN","N",2018,5
"306","PYN","N",2021,5
"307","PYN","N",2022,5
"308","PYN","N",2023,5
"309","PYN","S",2007,5
"310","PYN","S",2008,6
"311","PYN","S",2009,5
"312","PYN","S",2010,6
"313","PYN","S",2011,5
"314","PYN","S",2012,5
"315","PYN","S",2013,5
"316","PYN","S",2014,5
"317","PYN","S",2015,5
"318","PYN","S",2016,5
"319","PYN","S",2017,5
"320","PYN","S",2018,5
"321","PYN","S",2021,5
"322","PYN","S",2022,5
"323","PYN","S",2023,5
"324","PYN","W",2007,5
"325","PYN","W",2008,6
"326","PYN","W",2009,5
"327","PYN","W",2010,6
"328","PYN","W",2011,5
"329","PYN","W",2012,5
"330","PYN","W",2013,5
"331","PYN","W",2014,5
"332","PYN","W",2015,5
"333","PYN","W",2016,5
"334","PYN","W",2017,5
"335","PYN","W",2018,5
"336","PYN","W",2021,5
"337","PYN","W",2022,5
"338","PYN","W",2023,5
"339","PYS","C",2018,1
"340","PYS","N",2007,6
"341","PYS","N",2008,6
"342","PYS","N",2009,5
"343","PYS","N",2010,5
"344","PYS","N",2011,5
"345","PYS","N",2012,5
"346","PYS","N",2013,5
"347","PYS","N",2014,5
"348","PYS","N",2015,5
"349","PYS","N",2016,5
"350","PYS","N",2017,5
"351","PYS","N",2018,5
"352","PYS","N",2021,5
"353","PYS","N",2022,5
"354","PYS","N",2023,5
"355","PYS","S",2007,6
"356","PYS","S",2008,5
"357","PYS","S",2009,6
"358","PYS","S",2010,5
"359","PYS","S",2011,5
"360","PYS","S",2012,5
"361","PYS","S",2013,5
"362","PYS","S",2014,5
"363","PYS","S",2015,5
"364","PYS","S",2016,5
"365","PYS","S",2017,5
"366","PYS","S",2018,4
"367","PYS","S",2021,5
"368","PYS","S",2022,5
"369","PYS","S",2023,5
"370","PYS","W",2007,5
"371","PYS","W",2008,6
"372","PYS","W",2009,5
"373","PYS","W",2010,5
"374","PYS","W",2011,5
"375","PYS","W",2012,5
"376","PYS","W",2013,5
"377","PYS","W",2014,5
"378","PYS","W",2015,5
"379","PYS","W",2016,5
"380","PYS","W",2017,5
"381","PYS","W",2018,5
"382","PYS","W",2021,5
"383","PYS","W",2022,5
"384","PYS","W",2023,5
"385","PYW","C",2007,6
"386","PYW","C",2008,6
"387","PYW","C",2009,6
"388","PYW","C",2010,5
"389","PYW","C",2011,5
"390","PYW","C",2012,5
"391","PYW","C",2013,5
"392","PYW","C",2014,5
"393","PYW","C",2015,5
"394","PYW","C",2016,5
"395","PYW","C",2017,5
"396","PYW","C",2018,5
"397","PYW","C",2021,5
"398","PYW","C",2022,5
"399","PYW","C",2023,5
"400","PYW","N",2007,6
"401","PYW","N",2008,6
"402","PYW","N",2009,6
"403","PYW","N",2010,5
"404","PYW","N",2011,5
"405","PYW","N",2012,5
"406","PYW","N",2013,5
"407","PYW","N",2014,5
"408","PYW","N",2015,5
"409","PYW","N",2016,5
"410","PYW","N",2017,5
"411","PYW","N",2018,4
"412","PYW","N",2021,5
"413","PYW","N",2022,5
"414","PYW","N",2023,5
"415","PYW","S",2007,6
"416","PYW","S",2008,7
"417","PYW","S",2009,6
"418","PYW","S",2010,5
"419","PYW","S",2011,5
"420","PYW","S",2012,5
"421","PYW","S",2013,5
"422","PYW","S",2014,5
"423","PYW","S",2015,5
"424","PYW","S",2016,5
"425","PYW","S",2017,5
"426","PYW","S",2018,4
"427","PYW","S",2021,5
"428","PYW","S",2022,5
"429","PYW","S",2023,5
"430","PYW","W",2007,1
"431","PYW","W",2008,1
"432","PYW","W",2018,1
"433","RC2","C",2014,5
"434","RC2","C",2015,5
"435","RC2","C",2016,5
"436","RC2","C",2017,5
"437","RC2","C",2018,5
"438","RC2","N",2014,5
"439","RC2","N",2015,5
"440","RC2","N",2016,5
"441","RC2","N",2017,5
"442","RC2","N",2018,5
"443","RC2","S",2014,5
"444","RC2","S",2015,5
"445","RC2","S",2016,5
"446","RC2","S",2017,5
"447","RC2","S",2018,5
"448","RCH2007","N",2007,5
"449","RCH2007","N",2008,6
"450","RCH2007","N",2009,5
"451","RCH2007","N",2010,5
"452","RCH2007","N",2011,5
"453","RCH2007","N",2012,5
"454","RCH2007","N",2013,5
"455","RCH2007","S",2007,5
"456","RCH2007","S",2008,6
"457","RCH2007","S",2009,5
"458","RCH2007","S",2010,5
"459","RCH2007","S",2011,5
"460","RCH2007","S",2012,5
"461","RCH2007","S",2013,5
"462","RCH2007","W",2007,5
"463","RCH2007","W",2008,6
"464","RCH2007","W",2009,5
"465","RCH2007","W",2010,5
"466","RCH2007","W",2011,5
"467","RCH2007","W",2012,5
"468","RCH2007","W",2013,5
"469","RCH2014","C",2014,5
"470","RCH2014","C",2015,5
"471","RCH2014","C",2016,5
"472","RCH2014","C",2017,5
"473","RCH2014","C",2018,5
"474","RCH2014","C",2021,5
"475","RCH2014","C",2022,4
"476","RCH2014","C",2023,5
"477","RCH2014","E",2014,5
"478","RCH2014","E",2015,5
"479","RCH2014","E",2016,5
"480","RCH2014","E",2017,5
"481","RCH2014","E",2018,5
"482","RCH2014","E",2021,5
"483","RCH2014","E",2022,4
"484","RCH2014","E",2023,5
"485","RCH2014","N",2015,1
"486","RCH2014","W",2014,5
"487","RCH2014","W",2015,4
"488","RCH2014","W",2016,5
"489","RCH2014","W",2017,5
"490","RCH2014","W",2018,5
"491","RCH2014","W",2021,5
"492","RCH2014","W",2022,4
"493","RCH2014","W",2023,5
"494","RIE","E",2015,5
"495","RIE","E",2016,5
"496","RIE","E",2021,5
"497","RIE","E",2022,3
"498","RIE","E",2023,4
"499","RIE","N",2015,5
"500","RIE","N",2016,5
"501","RIE","N",2021,5
"502","RIE","N",2022,3
"503","RIE","N",2023,4
"504","RIE","W",2015,5
"505","RIE","W",2016,5
"506","RIE","W",2021,5
"507","RIE","W",2022,3
"508","RIE","W",2023,4
"509","RIN","E",2007,6
"510","RIN","E",2008,5
"511","RIN","E",2009,6
"512","RIN","E",2010,5
"513","RIN","E",2011,5
"514","RIN","E",2012,5
"515","RIN","E",2013,5
"516","RIN","E",2014,1
"517","RIN","E",2015,5
"518","RIN","E",2016,5
"519","RIN","E",2017,6
"520","RIN","E",2018,5
"521","RIN","E",2021,5
"522","RIN","E",2022,5
"523","RIN","E",2023,5
"524","RIN","N",2007,1
"525","RIN","N",2015,1
"526","RIN","S",2007,5
"527","RIN","S",2008,6
"528","RIN","S",2009,5
"529","RIN","S",2010,5
"530","RIN","S",2011,5
"531","RIN","S",2012,5
"532","RIN","S",2013,5
"533","RIN","S",2014,1
"534","RIN","S",2015,6
"535","RIN","S",2016,5
"536","RIN","S",2017,5
"537","RIN","S",2018,5
"538","RIN","S",2021,5
"539","RIN","S",2022,5
"540","RIN","S",2023,5
"541","RIN","W",2007,6
"542","RIN","W",2008,5
"543","RIN","W",2009,6
"544","RIN","W",2010,5
"545","RIN","W",2011,5
"546","RIN","W",2012,5
"547","RIN","W",2013,5
"548","RIN","W",2014,1
"549","RIN","W",2015,5
"550","RIN","W",2016,5
"551","RIN","W",2017,5
"552","RIN","W",2018,5
"553","RIN","W",2021,5
"554","RIN","W",2022,5
"555","RIN","W",2023,5
"556","RIS","C",2007,5
"557","RIS","C",2008,6
"558","RIS","C",2009,6
"559","RIS","C",2010,5
"560","RIS","C",2011,5
"561","RIS","C",2012,5
"562","RIS","C",2013,5
"563","RIS","C",2014,5
"564","RIS","C",2015,5
"565","RIS","C",2016,5
"566","RIS","C",2017,5
"567","RIS","C",2018,5
"568","RIS","C",2021,5
"569","RIS","C",2022,5
"570","RIS","C",2023,4
"571","RIS","C",NA,1
"572","RIS","N",2007,5
"573","RIS","N",2008,6
"574","RIS","N",2009,6
"575","RIS","N",2010,5
"576","RIS","N",2011,5
"577","RIS","N",2012,5
"578","RIS","N",2013,5
"579","RIS","N",2014,5
"580","RIS","N",2015,5
"581","RIS","N",2016,5
"582","RIS","N",2017,5
"583","RIS","N",2018,5
"584","RIS","N",2021,5
"585","RIS","N",2022,5
"586","RIS","N",2023,4
"587","RIS","N",NA,1
"588","RIS","S",2007,5
"589","RIS","S",2008,6
"590","RIS","S",2009,6
"591","RIS","S",2010,5
"592","RIS","S",2011,5
"593","RIS","S",2012,5
"594","RIS","S",2013,5
"595","RIS","S",2014,5
"596","RIS","S",2015,5
"597","RIS","S",2016,5
"598","RIS","S",2017,5
"599","RIS","S",2018,5
"600","RIS","S",2021,5
"601","RIS","S",2022,5
"602","RIS","S",2023,4
"603","RIS","S",NA,1
"604","RNR","C",2015,5
"605","RNR","C",2016,5
"606","RNR","C",2017,5
"607","RNR","C",2023,5
"608","RNR","E",2015,5
"609","RNR","E",2016,5
"610","RNR","E",2017,5
"611","RNR","E",2023,5
"612","RNR","W",2015,5
"613","RNR","W",2016,5
"614","RNR","W",2017,5
"615","RNR","W",2023,5
"616","STE","C",2017,1
"617","STE","E",2018,1
"618","STE","N",2007,5
"619","STE","N",2008,5
"620","STE","N",2009,5
"621","STE","N",2010,5
"622","STE","N",2011,5
"623","STE","N",2012,5
"624","STE","N",2013,5
"625","STE","N",2014,5
"626","STE","N",2015,5
"627","STE","N",2016,5
"628","STE","N",2017,5
"629","STE","N",2018,4
"630","STE","S",2007,5
"631","STE","S",2008,5
"632","STE","S",2009,5
"633","STE","S",2010,5
"634","STE","S",2011,5
"635","STE","S",2012,5
"636","STE","S",2013,5
"637","STE","S",2014,5
"638","STE","S",2015,5
"639","STE","S",2016,5
"640","STE","S",2017,5
"641","STE","S",2018,5
"642","STE","W",2007,5
"643","STE","W",2008,5
"644","STE","W",2009,5
"645","STE","W",2010,5
"646","STE","W",2011,5
"647","STE","W",2012,5
"648","STE","W",2013,5
"649","STE","W",2014,5
"650","STE","W",2015,5
"651","STE","W",2016,5
"652","STE","W",2017,5
"653","STE","W",2018,5
"654",NA,NA,NA,1
